Title,Country,Release Year,Genres,Count
Ajeeb Daastaans,India,2021,"Dramas, Independent Movies, International Movies",1
Arlo the Alligator Boy,United States,2021,"Children & Family Movies, Comedies, Music & Musicals",1
Barbie & Chelsea: The Lost Birthday,United States,2021,Children & Family Movies,1
Crimson Peak,"Canada, United States, Mexico",2015,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",1
Four Sisters Before the Wedding,Philippines,2020,"Children & Family Movies, Comedies, Dramas",1
Into the Beat,Germany,2020,"Dramas, International Movies, Romantic Movies",1
Synchronic,United States,2020,Thrillers,1
The Zookeeper's Wife,"Czech Republic, United Kingdom, United States",2017,Dramas,1
Time Trap,United States,2017,"Action & Adventure, Sci-Fi & Fantasy",1
Tuesdays & Fridays,India,2021,"Comedies, Dramas, International Movies",1
Dark City Beneath the Beat,United States,2020,"Documentaries, Music & Musicals",1
GANTZ:O,Japan,2016,"Action & Adventure, Anime Features, Horror Movies",1
Only Mine,United States,2019,Thrillers,1
Ride or Die,Japan,2021,"Dramas, International Movies, LGBTQ Movies",1
The Soul,"China, Taiwan",2021,"Dramas, International Movies, Thrillers",1
Uppena,India,2020,"Dramas, International Movies, Romantic Movies",1
Why Did You Kill Me?,United States,2021,Documentaries,1
New Gods: Nezha Reborn,China,2021,"Action & Adventure, Anime Features, International Movies",1
The Stand-In,United States,2020,Comedies,1
Night in Paradise,South Korea,2021,"Dramas, International Movies",1
Ojukokoro: Greed,Nigeria,2016,"Dramas, International Movies, Thrillers",1
Roohi,India,2021,"Comedies, Horror Movies, International Movies",1
Thunder Force,United States,2021,"Action & Adventure, Comedies",1
Two Distant Strangers,United States,2021,Dramas,1
Story of Kale: When Someone's in Love,Indonesia,2020,"Dramas, International Movies, Romantic Movies",1
Coded Bias,"United States, China, United Kingdom",2020,Documentaries,1
Mandela,India,2021,"Comedies, Dramas, International Movies",1
The Fisherman's Diary,Cameroon,2020,"Dramas, International Movies",1
What Lies Below,United States,2020,"Horror Movies, Thrillers",1
Air Strike,China,2018,"Action & Adventure, Dramas, International Movies",1
Concrete Cowboy,"United Kingdom, United States",2021,"Dramas, Independent Movies",1
Cross: Rise of the Villains,United States,2019,Action & Adventure,1
God Calling,Nigeria,2018,"Dramas, Faith & Spirituality, International Movies",1
Irul,India,2021,"International Movies, Thrillers",1
Just Say Yes,Netherlands,2021,"Comedies, International Movies, Romantic Movies",1
Madame Claude,France,2021,"Dramas, International Movies",1
Woody Woodpecker,United States,2017,"Children & Family Movies, Comedies",1
Ibrahim a Fate to Define,"Lebanon, Palestine, Denmark, Qatar",2019,"Documentaries, International Movies",1
Into the Grizzly Maze,"United States, Canada",2015,"Action & Adventure, Horror Movies",1
Kingsglaive: Final Fantasy XV,"Japan, United States",2016,"Action & Adventure, Sci-Fi & Fantasy",1
Madam Chief Minister,India,2020,"Dramas, International Movies",1
S.W.A.T.: Under Siege,United States,2017,"Action & Adventure, International Movies",1
Seven Souls in the Skull Castle: Season Flower,Japan,2017,"Action & Adventure, Dramas, International Movies",1
Sniper: Ghost Shooter,United States,2016,Action & Adventure,1
Starship Troopers: Traitor of Mars,"United States, Japan",2017,"Action & Adventure, Sci-Fi & Fantasy",1
Tersanjung the Movie,Indonesia,2021,"Dramas, International Movies, Romantic Movies",1
The Knight and the Princess,"Egypt, Saudi Arabia",2019,"Action & Adventure, International Movies, Music & Musicals",1
Wazir,India,2016,"Dramas, International Movies, Thrillers",1
White Boy,United States,2017,Documentaries,1
At Eternity's Gate,"Ireland, Switzerland, United Kingdom, France, United States",2018,Dramas,1
Not a Game,United Kingdom,2020,"Documentaries, International Movies, Sports Movies",1
7 Yards: The Chris Norton Story,United States,2021,Documentaries,1
Octonauts & the Ring of Fire,"China, United Kingdom",2021,Children & Family Movies,1
Marked,Nigeria,2021,"Documentaries, International Movies",1
A Week Away,United States,2021,"Children & Family Movies, Faith & Spirituality, Music & Musicals",1
Bad Trip,United States,2021,Comedies,1
Elizabeth and Margaret: Love and Loyalty,United Kingdom,2020,Documentaries,1
Keeping the Bees,Turkey,2020,"Dramas, International Movies",1
Ni de coña,Spain,2020,"Comedies, International Movies",1
Pagglait,India,2021,"Comedies, Dramas, International Movies",1
Caught by a Wave,Italy,2021,"Dramas, International Movies, Romantic Movies",1
Secret Magic Control Agency,"Russia, United States",2021,"Children & Family Movies, Comedies",1
Seaspiracy,United States,2021,Documentaries,1
Loyiso Gola: Unlearning,South Africa,2021,Stand-Up Comedy,1
Any Crybabies Around?,Japan,2020,"Dramas, International Movies",1
Hospital,Taiwan,2020,"Horror Movies, International Movies",1
Jiu Jitsu,United States,2020,Action & Adventure,1
The Yin Yang Master,China,2021,"Action & Adventure, International Movies",1
Who's the Boss,Nigeria,2020,"Comedies, International Movies, Romantic Movies",1
Deadly Illusions,United States,2021,Thrillers,1
Get the Goat,Brazil,2021,"Action & Adventure, Comedies, International Movies",1
Nate Bargatze: The Greatest Average American,United States,2021,Stand-Up Comedy,1
Skylines,"United Kingdom, United States",2020,Action & Adventure,1
The Present,"United Kingdom,",2020,"Dramas, International Movies",1
Catch.er,Nigeria,2017,"Dramas, International Movies, Thrillers",1
Operation Varsity Blues: The College Admissions Scandal,United States,2021,Documentaries,1
RebellComedy: Straight Outta the Zoo,Germany,2021,Stand-Up Comedy,1
C/O Kaadhal,India,2021,"Dramas, International Movies, Romantic Movies",1
The BFG,"United States, India, United Kingdom",2016,"Children & Family Movies, Dramas",1
The Last Blockbuster,United States,2020,Documentaries,1
Çarsi Pazar,Turkey,2015,"Comedies, International Movies",1
Just In Time,Kenya,2020,"Comedies, Dramas, International Movies",1
Mucize,Turkey,2015,"Dramas, International Movies",1
Paper Lives,Turkey,2021,"Dramas, International Movies",1
YES DAY,United States,2021,"Children & Family Movies, Comedies",1
You're Everything To Me,Turkey,2016,"Comedies, Dramas, Independent Movies",1
Coven of Sisters,"Spain, Argentina",2021,"Dramas, Independent Movies, International Movies",1
Generasi 90an: Melankolia,Indonesia,2020,"Dramas, International Movies",1
The Block Island Sound,United States,2020,"Horror Movies, Independent Movies",1
Bombay Rose,"India, United Kingdom, France, Qatar",2021,"Dramas, Independent Movies, International Movies",1
Aelay,India,2021,"Comedies, Dramas, Independent Movies",1
Dogwashers,Colombia,2021,"Comedies, Dramas, International Movies",1
Fate of Alakada,Nigeria,2020,"Comedies, International Movies",1
Sentinelle,France,2021,"Action & Adventure, Dramas, International Movies",1
Mariposa,Indonesia,2020,"Comedies, International Movies, Romantic Movies",1
Moxie,United States,2021,"Comedies, Dramas, Music & Musicals",1
Indoo Ki Jawani,India,2020,"Action & Adventure, Comedies, International Movies",1
Biggie: I Got a Story to Tell,United States,2021,"Documentaries, Music & Musicals",1
How to Be Really Bad,Germany,2018,"Comedies, International Movies",1
LEGO Marvel Spider-Man: Vexed by Venom,United States,2019,"Children & Family Movies, Comedies",1
Bigfoot Family,"Belgium, France",2021,"Children & Family Movies, Comedies",1
Captain Fantastic,United States,2016,"Comedies, Dramas, Independent Movies",1
Crazy About Her,Spain,2021,"Comedies, International Movies, Romantic Movies",1
No Escape,"United States, Thailand",2015,Action & Adventure,1
The Girl on the Train,India,2021,"International Movies, Thrillers",1
Geez & Ann,Indonesia,2021,"Dramas, International Movies, Romantic Movies",1
"Blue, Painful, Fragile",Japan,2020,"International Movies, Thrillers",1
Brian Regan: On the Rocks,United States,2021,Stand-Up Comedy,1
Made You Look: A True Story About Fake Art,Canada,2020,"Documentaries, International Movies",1
Pelé,United Kingdom,2021,"Documentaries, International Movies, Sports Movies",1
Red,India,2021,"Dramas, International Movies",1
The Conjuring 2,"Canada, United States, United Kingdom",2016,Horror Movies,1
Classmates Minus,Taiwan,2020,"Comedies, Dramas, Independent Movies",1
Fate: The Winx Saga - The Afterparty,United Kingdom,2021,"Comedies, Dramas",1
Operation Finale,United States,2018,"Dramas, Thrillers",1
I Care a Lot,"United Kingdom, United States",2021,"Comedies, LGBTQ Movies, Thrillers",1
Love,India,2020,"Dramas, Independent Movies, International Movies",1
Perú: Tesoro escondido,Uruguay,2017,"Documentaries, International Movies",1
Eeb Allay Ooo!,India,2019,"Comedies, Dramas, Independent Movies",1
No Escape Room,United States,2018,Horror Movies,1
The Most Unknown,United States,2018,Documentaries,1
Animals on the Loose: A You vs. Wild Movie,United States,2021,Children & Family Movies,1
The Resurrection of Gavin Stone,United States,2017,"Children & Family Movies, Comedies, Dramas",1
"My Teacher, My Obsession",United States,2018,Thrillers,1
Namaste Wahala,Nigeria,2021,"Comedies, Dramas, International Movies",1
Monsoon,United Kingdom,2020,"Dramas, Independent Movies, LGBTQ Movies",1
Hate by Dani Rovira,Spain,2021,Stand-Up Comedy,1
Mundina Nildana,India,2019,"Dramas, International Movies, Romantic Movies",1
To All The Boys: Always And Forever,United States,2021,"Comedies, Romantic Movies",1
Xico's Journey,Mexico,2021,Children & Family Movies,1
Growing up and other problems,Spain,2018,"Comedies, Dramas, International Movies",1
Layla Majnun,Indonesia,2020,"Dramas, International Movies, Romantic Movies",1
Red Dot,Sweden,2021,"International Movies, Thrillers",1
Squared Love,Poland,2021,"Comedies, International Movies, Romantic Movies",1
The Misadventures of Hedi and Cokeman,France,2021,"Comedies, International Movies",1
The World We Make,United States,2019,"Dramas, Romantic Movies",1
War Dogs,"United States, Cambodia, Romania",2016,"Comedies, Dramas",1
Monster Run,China,2020,"Action & Adventure, International Movies",1
Blanche Gardin: I talk to myself,France,2017,Stand-Up Comedy,1
Doob: No Bed of Roses,Bangladesh,2017,"Dramas, Independent Movies, International Movies",1
Little Big Women,Taiwan,2020,"Dramas, International Movies",1
Malcolm & Marie,United States,2021,"Dramas, Independent Movies",1
Space Sweepers,South Korea,2021,"Action & Adventure, Dramas, International Movies",1
"Strip Down, Rise Up",United States,2021,Documentaries,1
The Last Paradiso,Italy,2020,"Dramas, International Movies, Romantic Movies",1
The Yin-Yang Master: Dream Of Eternity,China,2021,"Action & Adventure, International Movies",1
All My Friends Are Dead,Poland,2020,"Comedies, Dramas, International Movies",1
Black Beach,"Spain, Belgium, United States",2020,"Action & Adventure, International Movies",1
"Our Lady of San Juan, Four Centuries of Miracles",Mexico,2020,"Dramas, Faith & Spirituality, International Movies",1
Rocks,United Kingdom,2019,Dramas,1
Fatima,"Portugal, United States",2020,"Dramas, Faith & Spirituality",1
Hell Fest,United States,2018,Horror Movies,1
Below Zero,Spain,2021,"Action & Adventure, International Movies",1
Finding ‘Ohana,United States,2021,"Children & Family Movies, Comedies",1
The Dig,United Kingdom,2021,"Dramas, International Movies",1
June & Kopi,Indonesia,2021,"Children & Family Movies, Dramas, International Movies",1
Accomplice,United States,2021,"Documentaries, International Movies, Sports Movies",1
Kilometers and Kilometers,India,2020,"Comedies, Dramas, Independent Movies",1
Penguin Bloom,"Australia, United States",2021,"Children & Family Movies, Dramas",1
Black Rose,Nigeria,2018,"Dramas, International Movies",1
So My Grandma’s a Lesbian!,"Portugal, Spain",2020,"Comedies, International Movies, LGBTQ Movies",1
The White Tiger,"India, United States",2021,Dramas,1
Friendsgiving,United States,2020,Comedies,1
The Shadow of Violence,"United Kingdom, Ireland",2020,Dramas,1
Cut Throat City,United States,2020,Dramas,1
Sightless,United States,2020,Thrillers,1
A Monster Calls,"United Kingdom, Spain, United States",2016,"Dramas, Sci-Fi & Fantasy",1
Death of Me,"United States, Thailand",2020,Horror Movies,1
Radium Girls,United States,2018,"Dramas, Independent Movies",1
Double Dad,Brazil,2020,"Children & Family Movies, Comedies, Dramas",1
Outside the Wire,"Hungary, United States",2021,Action & Adventure,1
Pinkfong & Baby Shark's Space Adventure,"United States, South Korea",2019,Children & Family Movies,1
The Vanished,United States,2020,Thrillers,1
Tribhanga - Tedhi Medhi Crazy,India,2021,"Dramas, International Movies",1
What Would Sophia Loren Do?,United States,2021,Documentaries,1
Wish You,South Korea,2021,"Dramas, International Movies, LGBTQ Movies",1
The Heartbreak Club,Indonesia,2020,"Comedies, Dramas, International Movies",1
An Imperfect Murder,United States,2017,"Dramas, Thrillers",1
Al acecho,Argentina,2019,"International Movies, Thrillers",1
"Crack: Cocaine, Corruption & Conspiracy",United States,2021,Documentaries,1
Charming,"Canada, United States, Cayman Islands",2021,"Children & Family Movies, Comedies",1
Creating The Queen's Gambit,United States,2021,Documentaries,1
Is Love Enough? Sir,"India, France",2018,"Dramas, Independent Movies, International Movies",1
Stuck Apart,Turkey,2021,"Comedies, Dramas, International Movies",1
100% Halal,Indonesia,2020,"Dramas, International Movies",1
Leap!,"France, Canada",2016,"Children & Family Movies, Comedies",1
Pieces of a Woman,"Canada, Hungary, United States",2020,Dramas,1
Tony Parker: The Final Shot,France,2020,"Documentaries, International Movies, Sports Movies",1
Asphalt Burning,Norway,2020,"Action & Adventure, Comedies, International Movies",1
Full Out 2: You Got This!,United States,2020,"Children & Family Movies, Dramas, Sports Movies",1
London Heist,United Kingdom,2017,Action & Adventure,1
The Creative Brain,United States,2019,Documentaries,1
The Minimalists: Less Is Now,United States,2021,Documentaries,1
What Happened to Mr. Cha?,South Korea,2021,"Comedies, International Movies",1
Alaska Is a Drag,United States,2017,"Dramas, LGBTQ Movies",1
